id,brand,model,network_technology,body_dimensions,body_weight,sim,display_type,display_size,display_resolution,multitouch,os,chipset,cpu,gpu,memory_card_slot,memory_internal,camera_primary,camera_features,camera_video,camera_secondary,alert_types,loudspeaker,three_dot_five_mm_jack,wlan,bluetooth,gps,radio,usb,sensors,messaging,browser,java,battery,battery_stand_by,battery_talk_time,battery_music_play,color
56,Samsung,Galaxy Note Edge,GSM / HSPA / LTE,151.3 x 82.4 x 8.3 mm (5.96 x 3.24 x 0.33 in),174 g (6.14 oz),Micro-SIM,Super AMOLED capacitive touchscreen 16M colors,5.6 inches (~77.2% screen-to-body ratio),1600 x 2560 pixels (~524 ppi pixel density),Yes,Android OS v4.4.4 (KitKat),Qualcomm Snapdragon 805,Quad-core 2.7 GHz Krait 450,Adreno 420,microSD up to 128 GB,32/64 GB 3 GB RAM,16 MP 3456 x 4608 pixels optical image stabilization autofocus LED flash check quality,Dual Shot Simultaneous HD video and image recording geo-tagging touch focus face/smile detection panorama HDR,2160p@30fps 1080p@60fps 720p@120fps optical stabilization dual-video rec. check quality,3.7 MP 1440p@30fps,Vibration; MP3 WAV ringtones,Yes,Yes,Wi-Fi 802.11 a/b/g/n/ac dual-band Wi-Fi Direct hotspot,v4.1 A2DP EDR LE,Yes with A-GPS GLONASS Beidou,Yes,Yes,Accelerometer gyro proximity compass barometer UV heart rate SpO2,SMS(threaded view) MMS Email Push Mail IM,HTML5,Yes via Java MIDP emulator,Li-Ion 3000 mAh battery,,Talk time; Up to 18 h (3G),Up to 67 h,Black White
57,Samsung,Galaxy Core Prime,GSM / HSPA / LTE,130.8 x 67.9 x 8.8 mm (5.15 x 2.67 x 0.35 in),130 g (4.59 oz),Optional Dual SIM (Micro-SIM dual stand-by),Capacitive touchscreen 16M colors,4.5 inches (~64.9% screen-to-body ratio),480 x 800 pixels (~207 ppi pixel density),Yes,Android OS v4.4.4 (KitKat),Qualcomm MSM8916 Snapdragon 410,Quad-core 1.2 GHz Cortex-A53,Adreno 306,microSD up to 64 GB,8 GB 1 GB RAM,5 MP 2592 ? 1944 pixels autofocus LED flash check quality,Geo-tagging touch focus face detection,720p@30fps check quality,2 MP,Vibration; MP3 WAV ringtones,Yes,Yes,Wi-Fi 802.11 b/g/n Wi-Fi Direct hotspot,v4.0 A2DP,Yes with A-GPS GLONASS Beidou,Yes (LTE models),FM radio,Accelerometer proximity,SMS(threaded view) MMS Email Push Mail IM,HTML,Yes via Java MIDP emulator,Li-Ion 2000 mAh battery,,Talk time; Up to 13 h (3G),Up to 60 h,Black White Gray
58,vivo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Samsung,Galaxy A3,GSM / HSPA / LTE,130.1 x 65.5 x 6.9 mm (5.12 x 2.58 x 0.27 in),110.3 g (3.88 oz),Nano-SIM,Super AMOLED capacitive touchscreen 16M colors,4.5 inches (~65.5% screen-to-body ratio),540 x 960 pixels (~245 ppi pixel density),Yes,Android OS v4.4.4 (KitKat),Qualcomm MSM8916 Snapdragon 410,Quad-core 1.2 GHz Cortex-A53,Adreno 306,microSD up to 64 GB,16 GB 1/1.5 GB RAM,8 MP 3264 x 2448 pixels autofocus LED flash check quality,Geo-tagging touch focus face detection panorama,1080p@30fps check quality,5 MP,Vibration; MP3 WAV ringtones,Yes,Yes,Wi-Fi 802.11 b/g/n hotspot,v4.0 A2DP EDR LE,Yes with A-GPS GLONASS Beidou,Yes (LTE model only),FM radio recording,Accelerometer proximity compass,SMS(threaded view) MMS Email Push Mail IM,HTML5,Yes via Java MIDP emulator,Non-removable Li-Ion 1900 mAh battery,,Talk time; Up to 12 h (3G),Up to 60 h,Pearl White Midnight Black Platinum Silver Soft Pink Light Blue Champagne Gold
60,Samsung,Galaxy Grand Neo,GSM / HSPA,143.7 x 77.1 x 9.6 mm (5.66 x 3.04 x 0.38 in),163 g (5.75 oz),Optional Dual SIM (Mini-SIM dual stand-by),TFT capacitive touchscreen 16M colors,5.01 inches (~64.5% screen-to-body ratio),480 x 800 pixels (~186 ppi pixel density),Yes,Android OS v4.2 (Jelly Bean) Android OS v4.4.2 (KitKat) - GT-I9060I,BCM23550,Quad-core 1.2 GHz Cortex-A7,,microSD up to 64 GB,8/16 GB 1 GB RAM,5 MP 2592 ? 1944 pixels autofocus LED flash check quality,Geo-tagging,720p@30fps check quality,VGA/ 2 MP (GT-I9060I),Vibration; MP3 WAV ringtones,Yes,Yes,Wi-Fi 802.11 b/g/n Wi-Fi Direct hotspot,v4.0 A2DP LE,Yes with A-GPS GLONASS,FM radio,microUSB v2.0,Accelerometer proximity compass,SMS(threaded view) MMS Email Push Mail IM,HTML5,Yes via Java MIDP emulator,Li-Ion 2100 mAh battery,,Talk time; Up to 11 h,Up to 38 h,White Midnight Black Orange Lime Green
61,Samsung,Galaxy J1 pictures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Plum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Samsung,Galaxy S5 LTE-A G901F pictures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,HTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Samsung,Galaxy S5 LTE-A G901F - user opinions and reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Samsung,E1272 pictures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Samsung,E1272 - user opinions and reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Samsung,Z1 pictures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Toshiba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Samsung,Z1 - user opinions and reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Toshiba,,GSM / HSPA,110 x 58 x 14 mm (4.33 x 2.28 x 0.55 in),120 g (4.23 oz),Mini-SIM,TFT resistive touchscreen 65K colors,2.83 inches (~38.9% screen-to-body ratio),320 x 240 pixels (~141 ppi pixel density),,Microsoft Windows Mobile 6.0 Professional,Qualcomm MSM7200,400 MHz ARM 11,,microSD up to 8 GB,128 MB RAM 256 MB ROM,3.15 MP 2048 x 1536 pixels autofocus,Yes,Yes,,Vibration; Downloadable polyphonic MP3 ringtones,Yes,No,Wi-Fi 802.11b/g,v2.0,Yes with A-GPS,Stereo FM radio with RDS,Yes,SMS EMS MMS Email,WAP 2.0/xHTML HTML (IE),Yes MIDP 2.0,=- Pocket Office - MP3/ACC+ player - Photo editor - Voice memo - Organizer,Li-Ion 1530 mAh battery,,Talk time; Up to 4 h,,Black
72,Toshiba,,GSM / CDMA / EVDO,118 x 59 x 10.6 mm (4.65 x 2.32 x 0.42 in),113 g (3.99 oz),Mini-SIM,TFT capacitive touchscreen 16M colors,3.7 inches (~56.0% screen-to-body ratio),480 x 800 pixels (~252 ppi pixel density),Yes,Microsoft Windows Phone 7.5 Mango,Qualcomm MSM8655 Snapdragon,1 GHz Scorpion,Adreno 205,No,32 GB (28 GB user available),13.2 MP 4208 x 3120 pixels autofocus LED flash,Geo-tagging,Yes,No,Vibration; MP3 WAV ringtones,Yes,Yes,Wi-Fi 802.11b/g/n,v2.1 A2DP EDR,Yes with A-GPS,Stereo FM radio with RDS,microUSB v2.0,Accelerometer proximity,SMS MMS Email Push Email IM,HTML,Yes MIDP 2.1,Li-Ion 1460 mAh battery,,Talk time; Up to 6 h 40 min,,Citrus Magenta Black
73,Toshiba,,No cellular connectivity,261.6 x 180.3 x 10.2 mm (10.30 x 7.10 x 0.40 in),639.6 g (1.41 lb),No,LED-backlit IPS LCD capacitive touchscreen 16M colors,10.1 inches (~62.7% screen-to-body ratio),1280 x 800 pixels (~149 ppi pixel density),Yes up to 10 fingers,Android OS v4.1 (Jelly Bean),Nvidia Tegra 3,Quad-core 1.5 GHz,ULP GeForce 2,microSD up to 32 GB,16 GB 1 GB RAM,3.15 MP 2048 x 1536 pixels autofocus,Geo-tagging,Yes,1.2 MP,Vibration; MP3 WAV ringtones,Yes with stereo speakers,Yes,Wi-Fi 802.11 b/g/n,v3.0 A2DP,Yes,No,microUSB v2.0,Accelerometer gyro compass,Email Push Mail IM,HTML Adobe Flash,Yes via Java MIDP emulator,Non-removable Li-Po battery (25 Wh),,Talk time; Up to 12 h (multimedia),,Black/Silver
74,Toshiba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Toshiba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Toshiba,,GSM / UMTS,100 x 47 x 26 mm (3.94 x 1.85 x 1.02 in),134 g (4.73 oz),Mini-SIM,TFT 256K colors,2.4 inches 48.8 x 36.6 mm (~38.0% screen-to-body ratio),240 x 320 pixels (~167 ppi pixel density),- Second external mono STN display (96 x 160 pixels),miniSD,Yes,20 dialed 20 received 20 missed calls,20 MB,2.26 MP 1728 x 1296 pixels autofocus LED flash,320p,Vibration; Downloadable polyphonic ringtones,Yes,No,,No,Yes,No,SMS MMS Email,WAP 2.0,2 + downloadable,Yes,=- MP3 player - TV-out - Voice memo - Predictive text input - Photo editor - Organizer,Li-Ion 1000 mAh battery,Up to 270 h,Up to 5 h 20 min,,Black Silver,,,,
77,Toshiba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Toshiba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Toshiba,,GSM / HSPA,130 x 70 x 9.9 mm (5.12 x 2.76 x 0.39 in),129 g (4.55 oz),Mini-SIM,TFT resistive touchscreen 256K colors (65K effective),4.1 inches (~52.6% screen-to-body ratio),480 x 800 pixels (~228 ppi pixel density),- 3D UI - Shake control,Microsoft Windows Mobile 6.1 Professional upgradeable to Windows Mobile 6.5,Qualcomm QSD8250 Snapdragon,1 GHz Scorpion,Adreno 200,microSD up to 32 GB,256 MB RAM 512 MB ROM,3.15 MP 2048 x 1536 pixels autofocus,Video-calling,480p@30fps,No,Vibration MP3 ringtones,Yes,No,Wi-Fi 802.11b/g,v2.0 A2DP,Yes with A-GPS,No,microUSB,Accelerometer,SMS (threaded view) EMS MMS Email Push Email,WAP 2.0/xHTML HTML (IE),Yes MIDP 2.0,Li-Ion 1000 mAh battery,,Talk time; Up to 5 h (2G) / Up to 4 h (3G),,Black White
80,Toshiba,,GSM / UMTS,112 x 50 x 26 mm (4.41 x 1.97 x 1.02 in),146 g (5.15 oz),Mini-SIM,TFT 260K colors,2.4 inches (~31.9% screen-to-body ratio),240 x 320 pixels (~167 ppi pixel density),- Second external 1.16-inch STN display (33 x 160 pixels) - Rotate 180 deg display,miniSD,Yes,20 dialed 20 received 20 missed calls,,3.15 MP 2048 x 1536 pixels LED flash,Yes,Vibration; Downloadable polyphonic MP3 MIDI ringtones,No,No,,No,Yes,Yes,SMS MMS,WAP,Yes,No,=- MP3 player - PC Sync - Predictive text input - Electronic dictionary - Organizer - Photo editor,Li-Ion 720 mAh battery,Up to 270 h,Up to 4.5 h,,Forest Green Urban Silver Canyon Red,,,,
81,Toshiba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Toshiba,,GSM / UMTS,97 x 49 x 20 mm (3.82 x 1.93 x 0.79 in),111 g (3.92 oz),Mini-SIM,TFT 256K colors,2.4 inches (~37.5% screen-to-body ratio),240 x 320 pixels (~167 ppi pixel density),- Second external mono OLED display 96 x 39 pixels,microSD,Yes,20 dialed 20 received 20 missed calls,40 MB,3.15 MP 2048 x 1536 pixels LED flash,Yes,Vibration; Downloadable polyphonic MP3 ringtones,Yes,No,,No,No,No,SMS MMS,WAP 2.0/xHTML,Yes+ downloadable,Yes MIDP 2.0,=- MP3/AAC/AAC+ player - Predictive text input - Photo editor - Organizer - Voice memo,Li-Ion battery,Up to 330 h,Up to 5 h 20 min,,Cosmo Pink Sugar White Honeycomb Black,,,,
83,Toshiba,,GSM / UMTS,98 x 47 x 23 mm (3.86 x 1.85 x 0.91 in),125 g (4.41 oz),Mini-SIM,TFT 256K colors,2.4 inches 48.8 x 36.6 mm (~38.7% screen-to-body ratio),240 x 320 pixels (~167 ppi pixel density),- Second external mono STN display (96 x 160 pixels),miniSD,Yes,20 dialed 20 received 20 missed calls,10 MB,1.3 MP 1280 x 1024 pixels,Yes,Vibration; Downloadable polyphonic ringtones,Yes,No,,No,Yes,No,SMS MMS Email,WAP 2.0,Yes + downloadable,Yes,=- MP3 player - TV-out - Voice memo - Predictive text input - Photo editor - Organizer,Li-Ion battery,Up to 350 h,Up to 2 h 50 min,,Black,,,,
84,Toshiba,,No cellular connectivity,256 x 176 x 7.7 mm (10.08 x 6.93 x 0.30 in),558 g (1.23 lb),No,LED-backlit LCD capacitive touchscreen 16M colors,10.1 inches (~65.6% screen-to-body ratio),1280 x 800 pixels (~149 ppi pixel density),Yes,Android OS v3.2 (Honeycomb),TI OMAP 4430,1.2 GHz,PowerVR SGX540,microSD up to 32 GB,16/32 GB 1 GB RAM,5 MP 2592 ? 1944 pixels autofocus LED flash,Geo-tagging,720p,2 MP,Vibration; MP3 WAV ringtones,Yes with stereo speakers,Yes,Wi-Fi 802.11 b/g/n,v2.1 A2DP EDR,Yes with A-GPS,No,miniUSB v2.0,Accelerometer gyro compass,Email Push Mail IM,HTML Adobe Flash,Yes via Java MIDP emulator,Non-removable Li-Ion battery,,Talk time; Up to 8 h (multimedia),,Black
85,Toshiba,,GSM / HSPA,343.8 x 211.2 x 9.8 mm (13.54 x 8.31 x 0.39 in),998 g (2.20 lb),Mini-SIM,LED-backlit IPS LCD capacitive touchscreen 16M colors,13.3 inches (~88.8% screen-to-body ratio),1600 x 900 pixels (~120 ppi pixel density),Yes up to 10 fingers,Android OS v4.0 (Ice Cream Sandwich),Nvidia Tegra 3,Quad-core 1.5 GHz,ULP GeForce 2,SD/microSD up to 32 GB,32/64 GB 1 GB RAM,5 MP 2592 ? 1944 pixels autofocus LED flash,Geo-tagging,1080p,2 MP,Vibration; MP3 WAV ringtones,Yes with four speakers,Yes,Wi-Fi 802.11 b/g/n hotspot,v3.0,Yes with A-GPS,No,miniUSB v2.0,Accelerometer gyro compass,Email Push Mail IM,HTML Adobe Flash,Yes via Java MIDP emulator,Non-removable Li-Po battery (38 Wh),,Talk time; Up to 13 h,,Dark gray metallic
86,Toshiba,,GSM / UMTS,105 x 46 x 15 mm (4.13 x 1.81 x 0.59 in),95 g (3.35 oz),Mini-SIM,TFT 256K colors,1.8 inches (~21.1% screen-to-body ratio),176 x 220 pixels (~157 ppi pixel density),,microSD,Yes,20 dialed 20 received 20 missed calls,10 MB,1.3 MP 1280 x 1024 pixels rotating,Video-calling,Vibration; Downloadable polyphonic MP3 ringtones composer,Yes with stereo speakers,No,,No,Yes,No,SMS EMS MMS Email,WAP 2.0/xHTML,Yes+ downloadable,Yes MIDP 2.0,=- MP3/ACC/ACC+ player - Predictive text input - Photo editor - Voice memo - Organizer,Li-Ion battery,Up to 250 h,Up to 3 h,,Silver Black,,,,
87,Toshiba,,No cellular connectivity,189 x 128.1 x 11.9 mm (7.44 x 5.04 x 0.47 in),400 g (14.11 oz),No,LED-backlit LCD capacitive touchscreen 16M colors,7.0 inches (~58.7% screen-to-body ratio),1280 x 800 pixels (~216 ppi pixel density),Yes,Android OS v3.2 (Honeycomb),Nvidia Tegra 2 T20,Dual-core 1 GHz Cortex-A9,ULP GeForce,microSD up to 32 GB,16/32 GB 1 GB RAM,5 MP 2592 ? 1944 pixels autofocus LED flash,Geo-tagging,720p,2 MP,Vibration; MP3 WAV ringtones,Yes with stereo speakers,Yes,Wi-Fi 802.11 b/g/n,v2.1 A2DP,Yes with A-GPS,No,miniUSB v2.0,Accelerometer gyro compass,Email Push Mail IM,HTML Adobe Flash,Yes via Java MIDP emulator,Non-removable Li-Ion battery (15 Wh),,Talk time; Up to 6 h,,Black
88,Toshiba,,GSM / UMTS,98 x 47 x 23 mm (3.86 x 1.85 x 0.91 in),121 g (4.27 oz),Mini-SIM,TFT 256K colors,2.0 inches 30 x 40 mm (~26.9% screen-to-body ratio),240 x 320 pixels (~200 ppi pixel density),- Second external mono display (160 x 96 pixels) - Wallpapers and mail animations,miniSD,Yes Photocall,10 dialed 10 received 10 missed calls,,1.3 MP 1280 x 1024 pixels LED flash,Yes,Vibration; Downloadable polyphonic ringtones,No,No,,No,Yes,No,SMS MMS Email,WAP,Yes + downloadable,Yes MIDP 2.0,=- MP3/AAC player - TV-out - Electronic dictionary - Predictive text input - Organizer,Li-Ion battery,Up to 250 h,Up to 5 h,,Shell White Urban Black,,,,
89,Toshiba,,GSM / UMTS,98 x 47 x 23 mm (3.86 x 1.85 x 0.91 in),121 g (4.27 oz),Mini-SIM,TFT 256K colors,2.0 inches (~26.9% screen-to-body ratio),240 x 320 pixels (~200 ppi pixel density),- Second external 1.3-inch mono STN display,miniSD,Yes,20 dialed 20 received 20 missed calls,40 MB,1.3 MP 1280 x 1024 pixels,Yes,Vibration; Downloadable polyphonic MP3 ringtones,Yes with stereo speakers,No,=- external music control keypad,No,Yes,No,SMS MMS Email,WAP 2.0/xHTML,Yes+ downloadable,Yes MIDP 2.0,=- MP3/AAC/AAC+ player - TV-out - Predictive text input - Photo editor - Organizer,Li-Ion battery,Up to 370 h,Up to 3 h 10 min,,Black Green Pink,,,,
90,Toshiba,,GSM / UMTS,111 x 50 x 25 mm (4.37 x 1.97 x 0.98 in),148 g (5.22 oz),Mini-SIM,TFT 256K colors,2.4 inches 48.8 x 36.6 mm (~32.1% screen-to-body ratio),240 x 320 pixels (~167 ppi pixel density),- Second external 65K colors display (112 x 112 pixels),SD,Yes,20 dialed 20 received 20 missed calls,,2 MP 1600 x 1200 pixels LED flash,320p,Vibration; Downloadable polyphonic ringtones,Yes with stereo speakers,No,,No,Yes,No,SMS MMS Email,WAP 2.0,2 + downloadable,Yes,=- MP3/AAC player - Predictive text input - Photo editor - Organizer,Li-Ion 1000 mAh battery,Up to 270 h,Up to 5 h 20 min,,Glossy Red Purplish Silver Matte Black,,,,
91,Toshiba,,No cellular connectivity,199 x 119.8 x 10.9 mm (7.83 x 4.72 x 0.43 in),354.4 g (12.49 oz),No,Capacitive touchscreen 16M colors,7.0 inches (~57.8% screen-to-body ratio),600 x 1024 pixels (~170 ppi pixel density),Yes up to 5 fingers,Android OS v4.2.2 (Jelly Bean),Rockchip RK3168,Dual-core 1.5 GHz Cortex-A9,,microSD,8 GB 1 GB RAM,VGA 640 x 480 pixels,Yes,No,,Vibration; MP3 WAV ringtones,Yes,Yes,Wi-Fi 802.11 b/g/n,v4.0,No,No,microUSB v2.0,Accelerometer,Email Push Mail IM,HTML5,Yes via Java MIDP emulator,Non-removable Li-Po battery (13 Wh),,Talk time; Up to 11 h (multimedia),,Black/Silver
92,Toshiba,,GSM,115 x 62 x 13 mm (4.53 x 2.44 x 0.51 in),130 g (4.59 oz),QWERTY,TFT 65K colors,2.46 inches (~26.3% screen-to-body ratio),320 x 240 pixels (~163 ppi pixel density),,Microsoft Windows Mobile 6 Standard,TI OMAP V1030,260 MHz,,microSD,64 MB RAM 128 MB ROM,2 MP 1600 x 1200 pixels,Yes,No,,Vibration; Downloadable polyphonic MP3 ringtones,No,No,No,v1.2 A2DP,Yes,No,Yes,SMS EMS MMS Email,WAP 2.0/xHTML HTML (IE),Yes MIDP 2.0,=- Pocket Office - MP3/ACC+ player - Photo editor - Voice memo - Organizer,Li-Ion 1050 mAh battery,,Talk time; Up to 3 h,,Black
93,Toshiba,,GSM / HSPA,273 x 177 x 16 mm (10.75 x 6.97 x 0.63 in),725 g (1.60 lb),Mini-SIM,IPS LCD capacitive touchscreen 16M colors,10.1 inches (~61.2% screen-to-body ratio),1280 x 800 pixels (~149 ppi pixel density),Yes,Android OS v3.0 (Honeycomb) upgradable to v3.2 (Honeycomb),Nvidia Tegra 2 T20,Dual-core 1 GHz Cortex-A9,ULP GeForce,SD up to 32 GB,8/16/32 GB 1 GB RAM,5 MP 2592 ? 1944 pixels autofocus,Yes,2 MP,,Vibration; MP3 WAV ringtones,Yes with stereo speakers,Yes,Wi-Fi 802.11 b/g/n hotspot,Yes,Yes with A-GPS,No,miniUSB v2.0 USB v2.0,Accelerometer gyro compass,Email Push Mail IM,HTML5 Adobe Flash,Yes via Java MIDP emulator,Non-removable Li-Ion battery,,Talk time; Up to 7 h,,Black
94,Toshiba,,GSM / HSPA,96 x 49 x 22.9 mm (3.78 x 1.93 x 0.90 in),135 g (4.76 oz),Mini-SIM,TFT 65K colors,2.3 inches (~34.8% screen-to-body ratio),240 x 320 pixels (~174 ppi pixel density),,Microsoft Windows Mobile 5.0,32-bit Intel XScale PXA270 312 MHz,,,miniSD,64 MB,2 MP 1600 x 1200 pixels,Yes,VGA videocall camera,,Vibration MP3 ringtones,Yes,No,Wi-Fi 802.11b/g VoIP over WLAN,v2.0 A2DP,No,No,miniUSB v1.1,SMS MMS Email Push Email,WAP 2.0/xHTML HTML (Opera 8.6),Yes MIDP 2.0,=- Pocket Office - MP3/WMA/ACC+ player - MP4/WMV/H.264/H.263 player - Photo editor - Voice memo - Organizer,Li-Ion 1200 mAh battery,,Talk time; Up to 4 h (2G) / Up to 3 h (3G),,Silver
95,Toshiba,,GSM / UMTS,111 x 50 x 25 mm (4.37 x 1.97 x 0.98 in),149 g (5.26 oz),Mini-SIM,TFT 260K colors,2.4 inches (~32.1% screen-to-body ratio),240 x 320 pixels (~167 ppi pixel density),- Second external 1.1-inch TFT display 65K colors (112 x 112 pixels) - Rotate 180 deg display,SD,Yes,20 dialed 20 received 20 missed calls,,2 MP 1600 x 1200 pixels autofocus,320p,Vibration; Downloadable polyphonic MP3 MIDI ringtones,No,No,,No,Yes,Yes,SMS MMS,WAP,Yes,Yes,=- MP3 player - PC Sync - TV-out - Organizer,Li-Ion 720 mAh battery,Up to 270 h,Up to 5.4 h,,Blaze Orange Deep Sea Blue Haze White,,,,
96,Toshiba,,No cellular connectivity,261.6 x 177.8 x 10.2 mm (10.30 x 7.00 x 0.40 in),630.5 g (1.39 lb),No,LED-backlit IPS LCD capacitive touchscreen 16M colors,10.1 inches (~63.6% screen-to-body ratio),2560 x 1600 pixels (~299 ppi pixel density),Yes up to 10 fingers,Android OS v4.2.1 (Jelly Bean) upgrad?ble to v4.3 (Jelly Bean),Nvidia Tegra 4,Quad-core Cortex-A15,ULP GeForce,microSD up to 32 GB,32 GB 2 GB RAM,8 MP 3264 x 2448 pixels autofocus LED flash,Geo-tagging touch focus,Yes,1.2 MP,Vibration; MP3 WAV ringtones,Yes with stereo speakers,Yes,Wi-Fi 802.11 a/b/g/n/ac dual-band,v4.0 A2DP,Yes,No,microUSB v2.0,Accelerometer gyro compass,Email Push Mail IM,HTML5,Yes via Java MIDP emulator,Non-removable Li-Po battery (33 Wh),,Talk time; Up to 11 h (multimedia),,Silver
97,Toshiba,,GSM,113 x 47 x 10.3 mm (4.45 x 1.85 x 0.41 in),79 g (2.79 oz),Mini-SIM,TFT 256K colors,1.93 inches (~22.1% screen-to-body ratio),176 x 220 pixels (~146 ppi pixel density),,microSD,Yes,20 dialed 20 received 20 missed calls,5.5 MB,1.3 MP 1280 x 1024 pixels,CIF,Vibration; Downloadable polyphonic MP3 ringtones composer,No,No,,No,v1.2,No,SMS EMS MMS Email,WAP 2.0/xHTML WSP,3 embedded,Yes MIDP 2.0,=- MP3/ACC+ player - Predictive text input - Photo editor - Voice memo - Organizer,Li-Ion battery,Up to 150 h,Up to 2 h 30 min,,Pink Green Champagne Copper Silver Aubergine,,,,
98,Toshiba,,No cellular connectivity,262 x 178 x 9 mm (10.31 x 7.01 x 0.35 in),599 g (1.32 lb),No,LED-backlit LCD capacitive touchscreen 16M colors,10.1 inches (~63.4% screen-to-body ratio),1280 x 800 pixels (~149 ppi pixel density),Yes up to 10 fingers,Android OS v4.0 (Ice Cream Sandwich),Nvidia Tegra 3,Quad-core 1.5 GHz,ULP GeForce 2,SD/microSD up to 32 GB,16/32/64 GB 1 GB RAM,5 MP 2592 ? 1944 pixels autofocus LED flash,Geo-tagging,720p,2 MP,Vibration; MP3 WAV ringtones,Yes with stereo speakers,Yes,Wi-Fi 802.11 b/g/n,v3.0 A2DP,Yes,No,microUSB v2.0 USB Host,Accelerometer gyro compass,Email Push Mail IM,HTML Adobe Flash,Yes via Java MIDP emulator,Non-removable Li-Po battery (25 Wh),,Talk time; Up to 10 h,,Black/Silver
99,Toshiba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
